"PAQ724aa.Code.or.Value","PAQ724aa.Value.Description","PAQ724aa.Count","PAQ724aa.Cumulative","PAQ724aa.Skip.to.Item"
"27","WALKING",468,468,NA
".","Missing",8787,9255,NA
