"CSXNAPG.Code.or.Value","CSXNAPG.Value.Description","CSXNAPG.Count","CSXNAPG.Cumulative","CSXNAPG.Skip.to.Item"
"0 to 100","Range of Values",3129,3129,NA
".","Missing",579,3708,NA
