"OSQ030cc.Code.or.Value","OSQ030cc.Value.Description","OSQ030cc.Count","OSQ030cc.Cumulative","OSQ030cc.Skip.to.Item"
"71","71",1,1,NA
"77777","Refused",0,1,NA
"99999","Don't know",0,1,NA
".","Missing",5410,5411,NA
