"WTSPH04.Code.or.Value","WTSPH04.Value.Description","WTSPH04.Count","WTSPH04.Cumulative","WTSPH04.Skip.to.Item"
"0 to 792866.41129","Range of Values",1894,1894,NA
".","Missing",0,1894,NA
