"DX2HETOT.Code.or.Value","DX2HETOT.Value.Description","DX2HETOT.Count","DX2HETOT.Cumulative","DX2HETOT.Skip.to.Item"
"3231.3 to 6688","Range of Values",479,479,NA
".","Missing",6,485,NA
