"RHD120.Code.or.Value","RHD120.Value.Description","RHD120.Count","RHD120.Cumulative","RHD120.Skip.to.Item"
"1 to 456","Range of Values",186,186,NA
"7777","Refused",0,186,NA
"9999","Don't know",3,189,NA
".","Missing",3676,3865,NA
