"WTSPO2YR.Code.or.Value","WTSPO2YR.Value.Description","WTSPO2YR.Count","WTSPO2YR.Cumulative","WTSPO2YR.Skip.to.Item"
"0 to 663502.47832","Range of Values",2547,2547,NA
".","Missing",0,2547,NA
