"WBXF009.Code.or.Value","WBXF009.Value.Description","WBXF009.Count","WBXF009.Cumulative","WBXF009.Skip.to.Item"
"408.4789 to 408.4789","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
