"RFXT070.Code.or.Value","RFXT070.Value.Description","RFXT070.Count","RFXT070.Cumulative","RFXT070.Skip.to.Item"
"601 to 610","Range of Values",33697,33697,NA
".","Missing",24,33721,NA
