"URDPMMLC.Code.or.Value","URDPMMLC.Value.Description","URDPMMLC.Count","URDPMMLC.Cumulative","URDPMMLC.Skip.to.Item"
"0","At or above the detection limit",2655,2655,NA
"1","Below lower detection limit",0,2655,NA
".","Missing",324,2979,NA
