"TYXP236.Code.or.Value","TYXP236.Value.Description","TYXP236.Count","TYXP236.Cumulative","TYXP236.Skip.to.Item"
"-295 to 135","Range of Values",103,103,NA
".","Missing",5482,5585,NA
