"URDOXYLC.Code.or.Value","URDOXYLC.Value.Description","URDOXYLC.Count","URDOXYLC.Cumulative","URDOXYLC.Skip.to.Item"
"0","At or above the detection limit",591,591,NA
"1","Below lower detection limit",2057,2648,NA
".","Missing",111,2759,NA
