"WBXP044.Code.or.Value","WBXP044.Value.Description","WBXP044.Count","WBXP044.Cumulative","WBXP044.Skip.to.Item"
"-92.4089 to 155.1148","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
