"LBDLG1LC.Code.or.Value","LBDLG1LC.Value.Description","LBDLG1LC.Count","LBDLG1LC.Cumulative","LBDLG1LC.Skip.to.Item"
"0","At or above the detection limit",4394,4394,NA
"1","Below lower detection limit",0,4394,NA
".","Missing",1249,5643,NA
