"MCQ371a.Code.or.Value","MCQ371a.Value.Description","MCQ371a.Count","MCQ371a.Cumulative","MCQ371a.Skip.to.Item"
"1","Yes",3835,3835,NA
"2","No",2321,6156,NA
"7","Refused",0,6156,NA
"9","Don't know",5,6161,NA
".","Missing",2736,8897,NA
