"RFXC145.Code.or.Value","RFXC145.Value.Description","RFXC145.Count","RFXC145.Cumulative","RFXC145.Skip.to.Item"
"-6.552 to 7.833","Range of Values",33673,33673,NA
".","Missing",48,33721,NA
