"LBXZXY.Code.or.Value","LBXZXY.Value.Description","LBXZXY.Count","LBXZXY.Cumulative","LBXZXY.Skip.to.Item"
"0.2392911663 to 8370.49","Range of Values",646,646,NA
".","Missing",205,851,NA
