"WTSAU47.Code.or.Value","WTSAU47.Value.Description","WTSAU47.Count","WTSAU47.Cumulative","WTSAU47.Skip.to.Item"
"0 to 471907.99728","Range of Values",1719,1719,NA
".","Missing",88,1807,NA
