"PAD680.Code.or.Value","PAD680.Value.Description","PAD680.Count","PAD680.Cumulative","PAD680.Skip.to.Item"
"0 to 1320","Range of Values",5811,5811,NA
"7777","Refused",0,5811,NA
"9999","Don't know",35,5846,NA
".","Missing",10,5856,NA
