"DXAFMRK.Code.or.Value","DXAFMRK.Value.Description","DXAFMRK.Count","DXAFMRK.Cumulative","DXAFMRK.Skip.to.Item"
"1.1221 to 1.1701","Range of Values",2286,2286,NA
".","Missing",612,2898,NA
