"SSII4UC2.Code.or.Value","SSII4UC2.Value.Description","SSII4UC2.Count","SSII4UC2.Cumulative","SSII4UC2.Skip.to.Item"
"779.43 to 100000","Range of Values",960,960,NA
".","Missing",76,1036,NA
