"LBXTO2.Code.or.Value","LBXTO2.Value.Description","LBXTO2.Count","LBXTO2.Cumulative","LBXTO2.Skip.to.Item"
"0 to 3","Range of Values",432,432,NA
".","Missing",5223,5655,NA
