"TYXP233.Code.or.Value","TYXP233.Value.Description","TYXP233.Count","TYXP233.Cumulative","TYXP233.Skip.to.Item"
"-298 to 141","Range of Values",119,119,NA
".","Missing",5466,5585,NA
