"URXMMI.Code.or.Value","URXMMI.Value.Description","URXMMI.Count","URXMMI.Cumulative","URXMMI.Skip.to.Item"
"0.29 to 0.98","Range of Values",2573,2573,NA
".","Missing",121,2694,NA
