"DBD040.Code.or.Value","DBD040.Value.Description","DBD040.Count","DBD040.Cumulative","DBD040.Skip.to.Item"
"1 to 730","Range of Values",1647,1647,""
"0","Never on a daily basis",215,1862,"DBD060"
"777777","Refused",0,1862,""
"999999","Don't know",6,1868,""
".","Missing",8281,10149,""
