"HCQ126E.Code.or.Value","HCQ126E.Value.Description","HCQ126E.Count","HCQ126E.Cumulative","HCQ126E.Skip.to.Item"
"1","Yes",0,0,NA
"2","No",5,5,NA
"7","Refused",0,5,NA
"9","Don't Know",0,5,NA
".","Missing",88,93,NA
