"URXUAS5.Code.or.Value","URXUAS5.Value.Description","URXUAS5.Count","URXUAS5.Cumulative","URXUAS5.Skip.to.Item"
"0.56 to 6.23","Range of Values",2825,2825,NA
".","Missing",154,2979,NA
