"RFXC118.Code.or.Value","RFXC118.Value.Description","RFXC118.Count","RFXC118.Cumulative","RFXC118.Skip.to.Item"
"-7.555 to 5.789","Range of Values",33684,33684,NA
".","Missing",37,33721,NA
