"DX2LSBMC.Code.or.Value","DX2LSBMC.Value.Description","DX2LSBMC.Count","DX2LSBMC.Cumulative","DX2LSBMC.Skip.to.Item"
"17.38 to 152.67","Range of Values",443,443,NA
".","Missing",42,485,NA
