"DUQ400Q.Code.or.Value","DUQ400Q.Value.Description","DUQ400Q.Count","DUQ400Q.Cumulative","DUQ400Q.Skip.to.Item"
"0 to 65","Range of Values",104,104,NA
"7777","Refused",2,106,NA
"9999","Don't know",0,106,NA
".","Missing",4466,4572,NA
