"DEQ2FHOT.Code.or.Value","DEQ2FHOT.Value.Description","DEQ2FHOT.Count","DEQ2FHOT.Cumulative","DEQ2FHOT.Skip.to.Item"
"1","Present",2,2,NA
".","Missing",2990,2992,NA
