"PSQ170C.Code.or.Value","PSQ170C.Value.Description","PSQ170C.Count","PSQ170C.Cumulative","PSQ170C.Skip.to.Item"
"1","Yes",4,4,NA
"2","No",9,13,NA
"7","Refused",0,13,NA
"9","Don't know",0,13,NA
".","Missing",39,52,NA
