"DBD235ae.Code.or.Value","DBD235ae.Value.Description","DBD235ae.Count","DBD235ae.Cumulative","DBD235ae.Skip.to.Item"
"0","Never",43,43,NA
"1","Rarely-less than once a week",154,197,NA
"2","Sometimes-once a week or more, but less than once a day",353,550,NA
"3","Often-once a day or more",3739,4289,NA
"4","Varied",13,4302,NA
"7","Refused",1,4303,NA
"9","Don't know",41,4344,NA
".","Missing",6695,11039,NA
