"DBD360.Code.or.Value","DBD360.Value.Description","DBD360.Count","DBD360.Cumulative","DBD360.Skip.to.Item"
"1","Yes",3206,3206,""
"2","No",692,3898,"End of Section"
"7","Refused",0,3898,"End of Section"
"9","Don't know",0,3898,"End of Section"
".","Missing",6067,9965,""
