"WTMEC2YR.Code.or.Value","WTMEC2YR.Value.Description","WTMEC2YR.Count","WTMEC2YR.Cumulative","WTMEC2YR.Skip.to.Item"
"2566.1838545 to 419762.83649","Range of Values",8704,8704,NA
"0","Not MEC Examined",550,9254,NA
".","Missing",0,9254,NA
