"LBXIG2.Code.or.Value","LBXIG2.Value.Description","LBXIG2.Count","LBXIG2.Cumulative","LBXIG2.Skip.to.Item"
"0.25 to 1000","Range of Values",7384,7384,NA
".","Missing",2056,9440,NA
