"FSD855.Code.or.Value","FSD855.Value.Description","FSD855.Count","FSD855.Cumulative","FSD855.Skip.to.Item"
"1","Yes",94,94,""
"2","No",8631,8725,"FSQBOX5"
"7","Refused",34,8759,"FSQBOX5"
"9","Don't know",32,8791,"FSQBOX5"
".","Missing",463,9254,""
