"FSD012N.Code.or.Value","FSD012N.Value.Description","FSD012N.Count","FSD012N.Cumulative","FSD012N.Skip.to.Item"
"1 to 6","Range of Values",2467,2467,NA
"7","7 or more",95,2562,NA
"77","Refused",0,2562,NA
"99","Don't know",0,2562,NA
".","Missing",6692,9254,NA
