"AUDTYL37.Code.or.Value","AUDTYL37.Value.Description","AUDTYL37.Count","AUDTYL37.Cumulative","AUDTYL37.Skip.to.Item"
"0 to 3.44","Range of Values",3834,3834,NA
".","Missing",666,4500,NA
