"PSQ100E.Code.or.Value","PSQ100E.Value.Description","PSQ100E.Count","PSQ100E.Cumulative","PSQ100E.Skip.to.Item"
"1","Yes",4,4,NA
"2","No",6,10,NA
"7","Refused",0,10,NA
"9","Don't know",3,13,NA
".","Missing",39,52,NA
