"MCD160M.Code.or.Value","MCD160M.Value.Description","MCD160M.Count","MCD160M.Cumulative","MCD160M.Skip.to.Item"
"1","Yes",434,434,"MCD170M"
"2","No",4963,5397,""
"7","Refused",0,5397,""
"9","Don't know",13,5410,""
".","Missing",5060,10470,""
