"DED100D.Code.or.Value","DED100D.Value.Description","DED100D.Count","DED100D.Cumulative","DED100D.Skip.to.Item"
"Other Coatings- waxes? oils?","Other Coatings- waxes? oils?",1,1,NA
"< blank >","Missing",8407,8408,NA
