"WTSAU37.Code.or.Value","WTSAU37.Value.Description","WTSAU37.Count","WTSAU37.Cumulative","WTSAU37.Skip.to.Item"
"0 to 480711.82635","Range of Values",1719,1719,NA
".","Missing",88,1807,NA
