"RFXT010.Code.or.Value","RFXT010.Value.Description","RFXT010.Count","RFXT010.Cumulative","RFXT010.Skip.to.Item"
"71 to 80","Range of Values",33721,33721,NA
".","Missing",0,33721,NA
