"AUDTYL39.Code.or.Value","AUDTYL39.Value.Description","AUDTYL39.Count","AUDTYL39.Cumulative","AUDTYL39.Skip.to.Item"
"0 to 4.28","Range of Values",3834,3834,NA
".","Missing",666,4500,NA
