"LBXDTA.Code.or.Value","LBXDTA.Value.Description","LBXDTA.Count","LBXDTA.Cumulative","LBXDTA.Skip.to.Item"
"1.71 to 204","Range of Values",4259,4259,NA
".","Missing",1384,5643,NA
