"HOQ065.Code.or.Value","HOQ065.Value.Description","HOQ065.Count","HOQ065.Cumulative","HOQ065.Skip.to.Item"
"1","Owned or being bought",4871,4871,NA
"2","Rented",3690,8561,NA
"3","Other arrangement",202,8763,NA
"7","Refused",11,8774,NA
"9","Don't know",6,8780,NA
".","Missing",474,9254,NA
