"URDMU2LC.Code.or.Value","URDMU2LC.Value.Description","URDMU2LC.Count","URDMU2LC.Cumulative","URDMU2LC.Skip.to.Item"
"0","At or above detection limit",2151,2151,NA
"1","Below lower detection limit",470,2621,NA
".","Missing",138,2759,NA
