"LBXFOR.Code.or.Value","LBXFOR.Value.Description","LBXFOR.Count","LBXFOR.Cumulative","LBXFOR.Skip.to.Item"
"57.7 to 228","Range of Values",2372,2372,NA
".","Missing",320,2692,NA
