"DXXPT89X.Code.or.Value","DXXPT89X.Value.Description","DXXPT89X.Count","DXXPT89X.Cumulative","DXXPT89X.Skip.to.Item"
"663.2 to 1198.3","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
