"URXBCPP.Code.or.Value","URXBCPP.Value.Description","URXBCPP.Count","URXBCPP.Cumulative","URXBCPP.Skip.to.Item"
"0.0707 to 26.1","Range of Values",2801,2801,NA
".","Missing",185,2986,NA
