"MPQ120K.Code.or.Value","MPQ120K.Value.Description","MPQ120K.Count","MPQ120K.Cumulative","MPQ120K.Skip.to.Item"
"20","Upper back - right",140,140,NA
".","Missing",4901,5041,NA
