"WTSCI21.Code.or.Value","WTSCI21.Value.Description","WTSCI21.Count","WTSCI21.Cumulative","WTSCI21.Skip.to.Item"
"0 to 466661.48066","Range of Values",727,727,NA
".","Missing",51,778,NA
