"TYXP086.Code.or.Value","TYXP086.Value.Description","TYXP086.Count","TYXP086.Cumulative","TYXP086.Skip.to.Item"
"-275 to 139","Range of Values",5574,5574,NA
".","Missing",11,5585,NA
