"DX2PEBMD.Code.or.Value","DX2PEBMD.Value.Description","DX2PEBMD.Count","DX2PEBMD.Cumulative","DX2PEBMD.Skip.to.Item"
"0.891 to 2.481","Range of Values",443,443,NA
".","Missing",42,485,NA
