"RFXT062.Code.or.Value","RFXT062.Value.Description","RFXT062.Count","RFXT062.Cumulative","RFXT062.Skip.to.Item"
"531 to 539","Range of Values",33699,33699,NA
".","Missing",22,33721,NA
