"RFXT118.Code.or.Value","RFXT118.Value.Description","RFXT118.Count","RFXT118.Cumulative","RFXT118.Skip.to.Item"
"1026 to 1035","Range of Values",33684,33684,NA
".","Missing",37,33721,NA
