"AUXU4KL.Code.or.Value","AUXU4KL.Value.Description","AUXU4KL.Count","AUXU4KL.Cumulative","AUXU4KL.Skip.to.Item"
"-10 to 110","Range of Values",2730,2730,NA
"666","No response",25,2755,NA
"888","Could not obtain",124,2879,NA
".","Missing",252,3131,NA
