"LBXVXY.Code.or.Value","LBXVXY.Value.Description","LBXVXY.Count","LBXVXY.Cumulative","LBXVXY.Skip.to.Item"
"0.024 to 649","Range of Values",2856,2856,NA
".","Missing",316,3172,NA
