"LBDBAP.Code.or.Value","LBDBAP.Value.Description","LBDBAP.Count","LBDBAP.Cumulative","LBDBAP.Skip.to.Item"
"1.7 to 351.2","Range of Values",7592,7592,NA
".","Missing",1670,9262,NA
