"DXXPEBMC.Code.or.Value","DXXPEBMC.Value.Description","DXXPEBMC.Count","DXXPEBMC.Cumulative","DXXPEBMC.Skip.to.Item"
"54.57 to 695.13","Range of Values",3912,3912,NA
".","Missing",1202,5114,NA
