"PSQ130D.Code.or.Value","PSQ130D.Value.Description","PSQ130D.Count","PSQ130D.Cumulative","PSQ130D.Skip.to.Item"
"1","Yes",3,3,NA
"2","No",20,23,NA
"7","Refused",0,23,NA
"9","Don't know",0,23,NA
".","Missing",29,52,NA
