"AADFLTIM.Code.or.Value","AADFLTIM.Value.Description","AADFLTIM.Count","AADFLTIM.Cumulative","AADFLTIM.Skip.to.Item"
"40 to 126","Range of Values",6946,6946,NA
".","Missing",2494,9440,NA
