"OPDSSWR.Code.or.Value","OPDSSWR.Value.Description","OPDSSWR.Count","OPDSSWR.Cumulative","OPDSSWR.Skip.to.Item"
"0","No",2729,2729,NA
"1","Questionable",44,2773,NA
"2","Yes",369,3142,NA
"3","Yes, in center",16,3158,NA
".","Missing",705,3863,NA
